//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
Option,100,Para asociar texto descriptivo con inputs y mejorar accesibilidad
Option,0,Para agrupar inputs
Option,0,Para validar formularios
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 7,
QuestionText,Qué significa CSS?,
Points,1,
Difficulty,1,
Image,,
Option,0,Computer Style Sheets
Option,100,Cascading Style Sheets
Option,0,Creative Style System
Option,0,Cascading System Styles
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 8,
QuestionText,Cuál es el propósito principal de CSS?,
Points,1,
Difficulty,1,
Image,,
Option,0,Crear la estructura de la página
Option,0,Agregar interactividad
Option,100,Definir el estilo visual de las páginas web
Option,0,Manejar bases de datos
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 9,
QuestionText,Cuál es la sintaxis correcta de CSS?,
Points,1,
Difficulty,1,
Image,,
Option,100,selector { propiedad: valor; }
Option,0,selector [propiedad = valor]
Option,0,propiedad { selector: valor; }
Option,0,{ selector propiedad valor }
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 10,
QuestionText,Cuál selector tiene mayor especificidad?,
Points,1,
Difficulty,1,
Image,,
Option,0,.clase
Option,0,elemento
Option,100,#id
Option,0,*
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 11,
QuestionText,"En la cascada CSS, qué tiene mayor prioridad?",
Points,1,
Difficulty,1,
Image,,
Option,0,El primer estilo en el código
Option,100,La especificidad
Option,0,El último estilo en el código
Option,0,El navegador decide
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 12,
QuestionText,Qué NO es parte del Box Model?,
Points,1,
Difficulty,1,
Image,,
Option,0,Content
Option,0,Padding
Option,0,Margin
Option,100,Color
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 13,
QuestionText,"Dado el siguiente HTML y CSS, de qué color será el texto? HTML: <div id=""box"" class=""container"">Texto</div> CSS: div { color: blue; } .container { color: green; } #box { color: red; }",
Points,1,
Difficulty,1,
Image,,
Option,0,blue
Option,0,green
Option,100,red
Option,0,negro (valor por defecto)
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 14,
QuestionText,Qué hace display: none?,
Points,1,
Difficulty,1,
Image,,
Option,0,Hace el elemento transparente
Option,100,Oculta el elemento completamente
Option,0,Hace el elemento pequeño
Option,0,Quita solo el color del elemento
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 15,
QuestionText,"Dado el siguiente CSS, de qué color será el fondo? .box { background: blue; } .box { background: green; } .box { background: red; }",
Points,1,
Difficulty,1,
Image,,
Option,0,blue
Option,0,green
Option,100,red
Option,0,"Ninguno, hay un conflicto"
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 16,
QuestionText,"Dado el siguiente CSS, de qué color será el borde? div.item { border-color: blue; } .item { border-color: green; }",
Points,1,
Difficulty,1,
Image,,
Option,100,blue
Option,0,green
Option,0,negro (valor por defecto)
Option,0,Ambos colores se mezclan
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 17,
QuestionText,"Dado el siguiente CSS, qué tamaño de fuente se aplicará? p { font-size: 14px; } p { font-size: 16px; } #texto { font-size: 18px; } HTML: <p id=""texto"">Hola</p>",
Points,1,
Difficulty,1,
Image,,
Option,0,14px
Option,0,16px
Option,100,18px
Option,0,16px y 18px se combinan
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 18,
QuestionText,Cuál es la diferencia entre Flexbox y Grid?,
Points,1,
Difficulty,1,
Image,,
Option,100,"Flexbox es unidimensional (fila o columna), Grid es bidimensional (filas y columnas)"
Option,0,"Flexbox es bidimensional, Grid es unidimensional"
Option,0,Ambos son unidimensionales
Option,0,Ambos son bidimensionales
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 19,
QuestionText,Para qué se usan las media queries?,
Points,1,
Difficulty,1,
Image,,
Option,0,Para consultar bases de datos
Option,100,Para aplicar estilos según características del dispositivo
Option,0,Para cargar imágenes
Option,0,Para crear animaciones
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 20,
QuestionText,Qué es el enfoque "Mobile First"?,
Points,1,
Difficulty,1,
Image,,
Option,0,Diseñar solo para móviles
Option,100,Diseñar primero para móvil y luego escalar hacia arriba
Option,0,Diseñar primero para desktop y luego para móvil
Option,0,Diseñar igual para todos los dispositivos
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 21,
QuestionText,Qué significa vw en CSS?,
Points,1,
Difficulty,1,
Image,,
Option,0,Very wide
Option,100,Viewport width (ancho del viewport)
Option,0,Variable width
Option,0,Visible width
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 22,
QuestionText,Qué es BEM?,
Points,1,
Difficulty,1,
Image,,
Option,0,Un framework de CSS
Option,100,Una metodología de nombrado de clases CSS
Option,0,Un preprocesador de CSS
Option,0,Un lenguaje de programación
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 23,
QuestionText,"En BEM, qué significa el ""Block""?",
Points,1,
Difficulty,1,
Image,,
Option,0,Un elemento bloqueado
Option,100,Un componente independiente
Option,0,Un modificador de estilo
Option,0,Una clase prohibida
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 24,
QuestionText,"En BEM, cómo se separan los elementos del bloque?",
Points,1,
Difficulty,1,
Image,,
Option,0,Con un guion: block-element
Option,100,Con doble guion bajo: block__element
Option,0,Con punto: block.element
Option,0,Con slash: block/element
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 25,
QuestionText,"En BEM, cómo se separan los modificadores?",
Points,1,
Difficulty,1,
Image,,
Option,100,Con doble guion: block--modifier
Option,0,Con guion bajo: block_modifier
Option,0,Con punto: block.modifier
Option,0,Con dos puntos: block:modifier
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 26,
QuestionText,Cómo se definen variables CSS?,
Points,1,
Difficulty,1,
Image,,
Option,0,var-name: value;
Option,0,$name: value;
Option,100,--name: value;
Option,0,@name: value;
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 27,
QuestionText,Cómo se usan las variables CSS?,
Points,1,
Difficulty,1,
Image,,
Option,0,value(--name)
Option,100,var(--name)
Option,0,use(--name)
Option,0,get(--name)
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 28,
QuestionText,Qué unidad CSS es relativa al tamaño de fuente del root?,
Points,1,
Difficulty,1,
Image,,
Option,0,em
Option,0,px
Option,100,rem
Option,0,%
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 29,
QuestionText,Cuál es el breakpoint común para tablets?,
Points,1,
Difficulty,1,
Image,,
Option,0,320px
Option,100,768px
Option,0,1024px
Option,0,1440px
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 30,
QuestionText,Qué propiedad grid se usa para definir el espacio entre items?,
Points,1,
Difficulty,1,
Image,,
Option,0,space
Option,0,margin
Option,100,gap
Option,0,padding
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 31,
QuestionText,"Dado el siguiente CSS, de qué color será el texto? CSS: .texto { color: blue !important; } #principal { color: red; } HTML: <p id=""principal"" class=""texto"">Hola</p>",
Points,1,
Difficulty,1,
Image,,
Option,100,blue
Option,0,red
Option,0,negro (valor por defecto)
Option,0,Se rompe el CSS
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 32,
QuestionText,"Dado el siguiente código, de qué color será el texto del párrafo? CSS: .contenedor { color: blue; } p { font-size: 16px; } HTML: <div class=""contenedor""><p>Texto</p></div>",
Points,1,
Difficulty,1,
Image,,
Option,0,negro (valor por defecto)
Option,100,blue
Option,0,"Error, falta definir el color"
Option,0,Depende del navegador
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 33,
QuestionText,Cuál selector tiene MAYOR especificidad?,
Points,1,
Difficulty,1,
Image,,
Option,0,div p
Option,0,.clase p
Option,100,div.clase
Option,0,p
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 34,
QuestionText,"Dado el CSS, de qué color será el enlace al pasar el mouse? CSS: a { color: blue; } a:hover { color: red; } a { color: green; }",
Points,1,
Difficulty,1,
Image,,
Option,0,blue
Option,0,"red cuando hover, green normalmente"
Option,0,green
Option,100,"red cuando hover, blue normalmente"
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 35,
QuestionText,Qué hace flex-wrap: wrap?,
Points,1,
Difficulty,1,
Image,,
Option,0,Envuelve el contenedor en otro elemento
Option,100,Permite que los items se muevan a nuevas líneas
Option,0,Hace que los items se solapen
Option,0,No hace nada
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 36,
QuestionText,Qué hace grid-template-columns: repeat(3, 1fr)?,
Points,1,
Difficulty,1,
Image,,
Option,100,Crea 3 columnas de ancho igual
Option,0,Crea 3 filas de alto igual
Option,0,Repite el contenido 3 veces
Option,0,Crea 1 columna que se repite 3 veces
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 37,
QuestionText,Cuál selector tiene MENOR especificidad?,
Points,1,
Difficulty,1,
Image,,
Option,0,#id .clase
Option,0,.clase .clase
Option,0,div#id
Option,100,.clase
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 38,
QuestionText,Cómo se definen animaciones en CSS?,
Points,1,
Difficulty,1,
Image,,
Option,0,@animation nombre { ... }
Option,100,@keyframes nombre { ... }
Option,0,animation: nombre { ... }
Option,0,keyframes nombre { ... }
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 39,
QuestionText,"Cuál es la diferencia entre rem y em?",
Points,1,
Difficulty,1,
Image,,
Option,0,"No hay diferencia, son iguales"
Option,0,"rem es relativo al elemento padre, em al root"
Option,100,"rem es relativo al root, em al elemento padre"
Option,0,"rem es en píxeles, em en porcentajes"
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 40,
QuestionText,Cómo se verá este color: #FF000000?,
Points,1,
Difficulty,1,
Image,,
Option,0,Rojo
Option,0,Verde
Option,0,Azul
Option,100,No se verá
Hint,,
Feedback,,,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 41,
QuestionText,"Qué se necesita en un elemento padre para que sirva como punto de referencia (anchor) de un elemento con position: absolute?",
Points,1,
Difficulty,1,
Image,,
Option,0,El padre debe tener display: block
Option,100,"El padre debe tener algún position definido (relative, absolute, fixed, sticky)"
Option,0,El padre debe tener position: static
Option,0,"No se necesita nada, siempre se posiciona respecto al viewport"
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 42,
QuestionText,Cómo funciona position: absolute?,
Points,1,
Difficulty,1,
Image,,
Option,0,Se posiciona respecto a su posición original
Option,100,Se posiciona respecto al ancestro posicionado más cercano
Option,0,Se posiciona siempre respecto al viewport
Option,0,No se puede mover de su posición
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 43,
QuestionText,Cómo funciona position: fixed?,
Points,1,
Difficulty,1,
Image,,
Option,0,Se posiciona respecto al ancestro posicionado
Option,0,Se posiciona respecto a su posición original
Option,100,Se posiciona respecto al viewport y se mantiene fijo al hacer scroll
Option,0,Es igual a position: absolute
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 44,
QuestionText,Cómo funciona position: sticky?,
Points,1,
Difficulty,1,
Image,,
Option,0,Es igual a position: fixed
Option,100,"Se comporta como relative hasta cierto punto de scroll, luego como fixed"
Option,0,Se posiciona siempre fijo
Option,0,No es una propiedad válida
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 45,
QuestionText,Para qué sirve la propiedad z-index?,
Points,1,
Difficulty,1,
Image,,
Option,0,Para rotar elementos
Option,100,Para controlar el orden de apilamiento de elementos
Option,0,Para hacer zoom
Option,0,Para centrar elementos
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 46,
QuestionText,Qué hace el selector div > p?,
Points,1,
Difficulty,1,
Image,,
Option,0,Selecciona todos los p dentro de div
Option,100,Selecciona solo los p que son hijos directos de div
Option,0,Selecciona div y p
Option,0,No es un selector válido
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 47,
QuestionText,Qué hace overflow: hidden?,
Points,1,
Difficulty,1,
Image,,
Option,0,Oculta el elemento completo
Option,100,Oculta el contenido que se desborda del contenedor
Option,0,Hace transparente el elemento
Option,0,Reduce el tamaño del elemento
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 48,
QuestionText,Qué hace el selector div p (sin >)?,
Points,1,
Difficulty,1,
Image,,
Option,0,Selecciona solo los p que son hijos directos de div
Option,100,Selecciona todos los p que están dentro de div (a cualquier nivel)
Option,0,Selecciona div y p
Option,0,No es un selector válido
Hint,,
Feedback,,
,,
//MULTIPLE CHOICE QUESTION TYPE,,
//Options must include text in column3,,
NewQuestion,MC,
ID,,
Title,Examen Medio Término > Pregunta 49,
QuestionText,"Qué hace el selector h1, h2, p?",
Points,1,
Difficulty,1,
Image,,
Option,0,Selecciona h1 dentro de h2 dentro de p
Option,100,"Selecciona todos los elementos h1, h2 y p"
Option,0,Selecciona solo h1
Option,0,No es un selector válido
Hint,,
Feedback,,
